T,Date,SPX_close,SPLRCT_close,SPLRCL_close,SPLRCM_close,SPLRCREC_close,SPLRCS_close,SPSY_close,SPNY_close,SPXHC_close,SPLRCD_close,SPLRCI_close,SPLRCU_close,VIX_close,SPX_R,SPX_log_r,SPLRCT_R,SPLRCT_log_r,SPLRCL_R,SPLRCL_log_r,SPLRCM_R,SPLRCM_log_r,SPLRCREC_R,SPLRCREC_log_r,SPLRCS_R,SPLRCS_log_r,SPSY_R,SPSY_log_r,SPNY_R,SPNY_log_r,SPXHC_R,SPXHC_log_r,SPLRCD_R,SPLRCD_log_r,SPLRCI_R,SPLRCI_log_r,SPLRCU_R,SPLRCU_log_r,SPX_vol20,SPX_vol60,SPX_vol20_div_vol60,SPX_vol20_normalized,SPX_vol20_div_vol60_normalized,VIX_close_normalized
0,2014-01-02,1832.0,579.2,154.62,289.56,148.47,437.82,293.1,643.16,638.75,527.44,446.64,190.23,14.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,
1,2014-01-03,1831.4,576.5,153.55,289.03,149.28,437.02,294.99,641.53,640.07,526.13,447.85,189.68,13.76,-0.000327510917030518,-0.000142259481067798,-0.00466160220994483,-0.0020292415583726925,-0.006920191437071486,-0.0030158481554606337,-0.0018303633098495288,-0.0007956450674517377,0.0054556476055768995,0.0023629178716060703,-0.0018272349367320162,-0.0007942839430463283,0.006448311156601796,0.0027914754433548353,-0.0025343615896510907,-0.0011020563487963563,0.0020665362035225832,0.0008965592025569402,-0.002483694827847829,-0.0010799967054571239,0.0027091169622067805,0.0011749637081084334,-0.0028912369237238237,-0.0012574669364921998,0.00023158519034490404,0.00023158519034490404,1.0,0.7071067811865476,,-0.7071067811865488
2,2014-01-06,1826.8,575.1,154.25,287.3,150.04,435.14,295.42,641.93,637.7,523.0,445.17,189.86,13.55,-0.002511739652724766,-0.0010922069158008113,-0.002428447528187298,-0.0010559440329927627,0.004558775643112918,0.001975351926191551,-0.005985537833442762,-0.002607296897011455,0.0050911039657019755,0.002205429076260414,-0.004301862614983286,-0.0018723052892949076,0.0014576765314078673,0.0006325999228915016,0.0006235094227861164,0.0002707023177749943,-0.0037027200149983663,-0.0016110553580709795,-0.005949100032311397,-0.0025913771629149547,-0.005984146477615288,-0.0026066890006896525,0.0009489666807254683,0.0004119355672840826,0.0013654641856450985,0.0013654641856450985,1.0,1.1401111077071935,,-0.8520355760516437
3,2014-01-07,1837.9,580.4,155.09,286.84,150.61,437.46,295.54,647.66,644.13,525.93,447.34,191.59,12.92,0.0060761988176046295,0.002630874828042753,0.009215788558511484,0.003984036167973233,0.005445705024311205,0.0023586232718994,-0.001601113818308515,-0.0006959121622672731,0.003798986936816993,0.0016467530436151047,0.005331617410488563,0.002309341215018106,0.0004062013404644389,0.00017637518121254854,0.008926206907295217,0.003859403001100591,0.010083111180805942,0.004357109666012006,0.005602294455066826,0.0024262555967932502,0.004874542309679356,0.002111843862263688,0.009111977246392023,0.003939360886964659,0.0036840572319609016,0.0036840572319609016,1.0,1.4028202517137347,,-1.278515689722393
4,2014-01-08,1837.5,580.9,152.48,288.42,150.48,434.35,296.53,643.24,649.79,525.03,446.96,190.54,12.87,-0.00021763969748086998,-9.453000677326006e-05,0.0008614748449345279,0.00037397271053045064,-0.016828938035979197,-0.007370912682927484,0.005508297308604243,0.002385658682610327,-0.000863156496912714,-0.00037502597997783577,-0.00710922141452923,-0.003098522769982479,0.003349800365432605,0.0014523685975908758,-0.006824568446407003,-0.0029740322434046317,0.0087870460931799,0.003799496794236491,-0.0017112543494380952,-0.0007438249395984828,-0.000849465730764062,-0.00036907505994739434,-0.005480453050785591,-0.002386676542807779,0.003223368337948594,0.003223368337948594,1.0,0.9012313438387505,,-1.0333930867212389
5,2014-01-09,1838.1,577.6,149.6,287.22,150.72,436.23,297.52,640.88,654.52,524.4,448.58,191.63,12.89,0.00032653061224484847,0.00014178729538384782,-0.005680840075744456,-0.002474191914645984,-0.01888772298006293,-0.008281289765808615,-0.004160599126274144,-0.0018106946466982766,0.0015948963317384975,0.0006921029064797073,0.004328306665131796,0.0018757033130786828,0.003338616666104641,0.0014475277674308742,-0.0036689260618120974,-0.001596324535473781,0.007279274842641497,0.0031498982672778057,-0.0011999314324895635,-0.0005214365064223156,0.003624485412564893,0.0015712482482382172,0.005720583604492513,0.002477338717742332,0.00288529054169167,0.00288529054169167,1.0,0.6221374280879072,,-0.8466780505125071
6,2014-01-10,1842.4,578.8,150.18,288.25,152.65,436.99,297.12,641.83,657.26,526.38,449.33,194.39,12.14,0.0023393721777923847,0.0010147899045584057,0.002077562326869688,0.0009013378854170769,0.0038770053475936667,0.0016805064634243297,0.0035861012464312118,0.0015546381011443482,0.012805201698513846,0.0055259231858784865,0.0017422002154826373,0.0007559696057970773,-0.0013444474321053284,-0.0005842789552109694,0.0014823367869180588,0.0006432940153952913,0.004186273910652095,0.0018142807650729095,0.0037757437070938564,0.0016366967241598575,0.0016719425743457132,0.0007255090981884946,0.014402755309711376,0.006210420165199373,0.0027186261111495874,0.0027186261111495874,1.0,0.47475821457809425,,-1.5154888070247636
7,2014-01-13,1819.2,572.9,148.53,284.17,151.44,434.2,292.71,629.63,651.99,516.14,444.25,192.61,13.28,-0.01259227095093359,-0.005503477612515178,-0.010193503800967481,-0.004449700197387302,-0.010986815821014819,-0.00479791894072036,-0.014154379878577568,-0.006191088688318371,-0.007926629544710174,-0.0034562076789402844,-0.006384585459621548,-0.0027816796494800145,-0.014842487883683444,-0.0064943266860913755,-0.01900814857516795,-0.008334600057287556,-0.008018135897513894,-0.0034962677573269593,-0.019453626657547796,-0.008531862260868172,-0.011305721852535963,-0.004937979221195608,-0.009156849632182586,-0.003995088522843168,0.005366094571654622,0.005366094571654622,1.0,1.6179489249843706,,0.11631851932639867
8,2014-01-14,1838.9,583.8,149.15,288.15,152.43,436.58,295.01,636.5,660.32,520.09,448.82,192.78,12.28,0.01082893579595429,0.004677665456667586,0.01902600802932445,0.008185268402383004,0.004174240894095499,0.0018090766469349808,0.014005700812893554,0.006040396638956582,0.006537242472266305,0.002829848674217789,0.005481345002303076,0.0023740174114116937,0.007857606504731685,0.0033991778658761687,0.010911170052252919,0.0047129953031203944,0.012776269574686791,0.005513516810813424,0.007652962374549629,0.00331098600206784,0.010287000562746186,0.004444764926086611,0.000882612533097905,0.00038314469349047645,0.006354969203894141,0.006354969203894141,1.0,1.628270464192612,,-1.2138260995675585
9,2014-01-15,1848.4,590.6,151.35,290.01,153.19,436.71,298.51,634.47,659.4,521.32,451.93,192.37,12.28,0.0051661319266953065,0.002237847046340275,0.011647824597465002,0.005029351977064118,0.014750251424740117,0.006359167594510254,0.0064549713690786525,0.002794349395175695,0.004985895164993708,0.0021599665376046714,0.0002977690228594884,0.00012930019366863132,0.01186400461001322,0.005122146875072119,-0.003189316575019596,-0.0013873160624605927,-0.0013932638720621407,-0.0006055087262066107,0.00236497529273783,0.0010258831029694257,0.006929281226326843,0.00299897020440303,-0.0021267766365805404,-0.0009246309481504003,0.0061754335082543285,0.0061754335082543285,1.0,1.309059779520409,,-1.0731778045189766
